F_MASV,F_MAMH,F_NHHK,F_DIEM4
72091.0,1512.0,20201,2.5
65979.0,763.0,20201,4.0
68220.0,1907.0,20201,3.0
68618.0,1895.0,20201,4.0
68618.0,1892.0,20201,3.5
68618.0,1894.0,20201,2.0
69184.0,184.0,20201,1.0
68168.0,1907.0,20201,3.5
84309.0,1283.0,20201,2.0
70669.0,1745.0,20201,3.5
80796.0,2768.0,20201,4.0
80583.0,4665.0,20201,2.0
80486.0,4483.0,20201,1.0
80771.0,2844.0,20201,4.0
78671.0,4912.0,20201,3.0
78881.0,4577.0,20201,4.0
63290.0,886.0,20201,3.5
65704.0,1027.0,20201,3.5
65682.0,825.0,20201,2.0
62362.0,871.0,20201,3.5
63340.0,1025.0,20201,4.0
65492.0,884.0,20201,3.0
65703.0,847.0,20201,4.0
62397.0,828.0,20201,3.5
65719.0,822.0,20201,2.5
65670.0,822.0,20201,3.5
65518.0,923.0,20201,1.0
48909.0,817.0,20201,3.0
65743.0,847.0,20201,3.5
63375.0,920.0,20201,0.0
65685.0,832.0,20201,4.0
74212.0,1422.0,20201,2.5
72034.0,1462.0,20201,3.0
74134.0,1569.0,20201,2.0
66852.0,2222.0,20201,3.5
67164.0,2549.0,20201,4.0
71615.0,817.0,20201,3.0
73338.0,838.0,20201,2.0
73342.0,845.0,20201,3.0
71493.0,855.0,20201,2.0
73567.0,828.0,20201,3.5
73311.0,845.0,20201,1.0
68478.0,1359.0,20201,4.0
68490.0,1230.0,20201,2.5
68495.0,1230.0,20201,2.5
74027.0,4895.0,20201,3.5
69706.0,3921.0,20201,0.0
70301.0,3728.0,20201,4.0
69657.0,3921.0,20201,1.5
74311.0,2837.0,20201,3.0
72432.0,1560.0,20201,3.0
71020.0,4903.0,20201,4.0
70846.0,2541.0,20201,1.5
71127.0,4895.0,20201,2.0
72455.0,4342.0,20201,3.5
72942.0,2132.0,20201,4.0
72963.0,2377.0,20201,4.0
70795.0,2541.0,20201,3.0
72914.0,2430.0,20201,4.0
70819.0,2546.0,20201,4.0
72929.0,2281.0,20201,3.5
66973.0,2543.0,20201,2.5
69665.0,3925.0,20201,2.0
70360.0,885.0,20201,4.0
73330.0,923.0,20201,1.0
70347.0,900.0,20201,2.0
69144.0,239.0,20201,3.5
71760.0,1787.0,20201,3.5
73301.0,1138.0,20201,1.0
74022.0,517.0,20201,4.0
68857.0,352.0,20201,2.5
70194.0,3965.0,20201,4.0
67394.0,2787.0,20201,3.5
70318.0,3955.0,20201,2.5
66818.0,2809.0,20201,3.5
67074.0,3406.0,20201,3.0
73135.0,584.0,20201,2.0
71328.0,272.0,20201,2.0
69314.0,301.0,20201,3.5
70062.0,433.0,20201,3.5
73261.0,982.0,20201,3.0
70103.0,246.0,20201,3.5
70153.0,556.0,20201,0.0
73958.0,1178.0,20201,3.5
69198.0,499.0,20201,3.5
75641.0,1628.0,20201,2.0
75231.0,1439.0,20201,3.5
75560.0,3494.0,20201,3.0
75717.0,1583.0,20201,3.0
75362.0,1321.0,20201,2.0
75429.0,1394.0,20201,3.0
69988.0,4089.0,20201,3.0
67225.0,3634.0,20201,0.0
67230.0,4112.0,20201,3.5
73668.0,3477.0,20201,1.0
67262.0,4127.0,20201,4.0
